"","SAN.PA.Open","SAN.PA.High","SAN.PA.Low","SAN.PA.Close","SAN.PA.Volume","SAN.PA.Adjusted"
"352",87.3527908325195,87.7108383178711,86.7560501098633,86.7560501098633,1432037,74.338737487793
"353",86.5770263671875,87.0743103027344,85.5526275634766,86.3283843994141,1796550,73.9722747802734
"354",86.4477386474609,87.6511611938477,86.4079513549805,87.6213226318359,1956320,75.0801620483398
"355",87.6113815307617,88.0191497802734,87.4224090576172,87.750617980957,2429515,75.1909408569336
"356",87.6611099243164,87.9694213867188,87.4920272827148,87.7008895874023,809747,75.1483383178711
"357",87.5318145751953,87.7605667114258,87.2433853149414,87.4621963500977,1891717,74.9438018798828
"358",87.6611099243164,88.1782836914062,87.4621963500977,88.1782836914062,1688736,75.5573959350586
"359",87.7207794189453,88.0688781738281,86.3980102539062,86.3980102539062,3845698,74.0319366455078
"360",85.8808364868164,87.7108383178711,85.781379699707,87.4820861816406,1675618,74.9608383178711
"361",87.1936645507812,87.3130111694336,86.4576797485352,86.4974670410156,1335146,74.1171569824219
"362",86.1891479492188,86.7063217163086,85.3039855957031,85.3934936523438,1893830,73.1711883544922
"363",85.3537139892578,85.6122970581055,84.9061584472656,85.0453948974609,1440371,72.872917175293
"364",84.8663711547852,85.2840957641602,84.3094177246094,85.0155563354492,1265085,72.8473510742188
"365",85.3835525512695,85.7018127441406,84.985725402832,85.6122970581055,968965,73.3586807250977
"366",85.4432220458984,85.9305572509766,84.985725402832,85.7117538452148,1408465,73.4439086914062
"367",85.7117538452148,85.8708877563477,84.7569732666016,84.8663711547852,1408868,72.7195129394531
"368",85.0354537963867,86.159309387207,84.4088745117188,86.0300216674805,1480379,73.7166137695312
"369",86.4079513549805,87.9196929931641,86.3681716918945,87.7307281494141,2141502,75.1738967895508
"370",88.0191497802734,88.4169769287109,87.6312713623047,88.4169769287109,2127079,75.7619323730469
"371",88.3175201416016,88.9341506958008,88.1384963989258,88.4070281982422,1315500,75.7534027099609
"372",88.9242095947266,89.0336074829102,88.3274688720703,88.377197265625,1243776,75.7278366088867
"373",88.2379531860352,88.6954574584961,88.1186065673828,88.4865951538086,1897514,75.8215789794922
"374",87.9495315551758,88.4965438842773,87.6213226318359,88.4070281982422,1607620,75.7534027099609
"375",88.6855087280273,88.7650756835938,87.3726806640625,87.5019760131836,3904800,74.977897644043
"376",87.4323577880859,88.4070281982422,87.3229522705078,87.7406692504883,1483388,75.1824188232422
"377",87.7207794189453,87.750617980957,86.5372467041016,87.2533340454102,1345068,74.7648391723633
"378",86.7162704467773,87.7705078125,86.5372467041016,86.6466522216797,1466032,74.244987487793
"379",86.9450225830078,87.601432800293,86.7461090087891,87.1240386962891,1842875,74.6540451049805
"380",87.0245819091797,87.8401260375977,86.7560501098633,87.7705078125,1604183,75.2079925537109
"381",87.6412124633789,88.8545837402344,87.58154296875,88.6258392333984,1643488,75.9408950805664
"382",88.5761108398438,88.8645324707031,87.7804565429688,87.8500747680664,1879539,75.2761688232422
"383",87.8003463745117,88.4667053222656,87.1140975952148,87.8799133300781,2424444,75.3017349243164
"384",88.3473587036133,88.7053985595703,87.8202362060547,87.9793701171875,1533951,75.3869552612305
"385",88.1981735229492,88.4269256591797,87.2234954833984,87.4224090576172,1492187,74.9097137451172
"386",87.8898544311523,87.9097518920898,86.3582229614258,86.4278411865234,1109443,74.0574951171875
"387",86.3283843994141,86.7063217163086,85.970344543457,86.2985534667969,1763269,73.9467163085938
"388",86.1195297241211,86.5074081420898,85.9305572509766,86.3283843994141,1794707,73.9722747802734
"389",85.7913208007812,86.0499114990234,85.0652847290039,85.3139266967773,2773073,73.1030197143555
"390",85.8509979248047,86.8256683349609,85.8410491943359,86.7461090087891,2106137,74.3302154541016
"391",87.1140975952148,88.4667053222656,86.8157272338867,88.3175201416016,1696084,75.6767120361328
"392",87.8102951049805,88.2777404785156,87.3428497314453,88.2479019165039,1758577,75.6170501708984
"393",88.0092086791992,88.1882247924805,87.5715942382812,88.1882247924805,936715,75.56591796875
"394",88.0688781738281,88.0887680053711,86.3482818603516,86.6764831542969,1641257,74.2705459594727
"395",86.9052352905273,87.4721374511719,86.6068649291992,87.3925704956055,1368039,74.884147644043
"396",87.5517044067383,87.5517044067383,85.8410491943359,86.2985534667969,2174230,73.9467163085938
"397",86.5272979736328,87.1737670898438,86.010124206543,86.616813659668,1762714,74.2194213867188
"398",87.0046920776367,87.5417556762695,86.2786560058594,86.5571365356445,1621479,74.1682891845703
"399",86.5272979736328,87.2732238769531,86.1195297241211,87.0544204711914,1418845,74.5943984985352
"400",87.1240386962891,87.7605667114258,86.5471954345703,87.5914840698242,1238307,75.0545883178711
"401",87.412467956543,87.5914840698242,86.7461090087891,87.1041488647461,1170264,74.6370010375977
"402",86.7958374023438,86.8555068969727,85.8509979248047,86.6466522216797,1598823,74.244987487793
"403",86.8555068969727,87.1240386962891,86.2289276123047,87.1140975952148,1380237,74.6455307006836
"404",87.9893112182617,88.9938278198242,85.5128402709961,86.0499114990234,2389158,73.7336654663086
"405",85.9305572509766,87.0245819091797,85.3835525512695,86.4079513549805,2668314,74.0404586791992
"406",86.7262115478516,86.994743347168,85.8808364868164,86.2786560058594,1385474,73.9296646118164
"407",86.4974670410156,86.9848022460938,85.8410491943359,85.9802856445312,1475426,73.6739959716797
"408",85.7913208007812,86.0896911621094,83.8817520141602,84.040885925293,2598496,72.0121841430664
"409",84.1403427124023,85.0155563354492,84.0906143188477,84.6575164794922,1449132,72.5405502319336
"410",84.8464813232422,85.9007263183594,84.6376266479492,85.781379699707,1945661,73.5035629272461
