"","FCHI.Open","FCHI.High","FCHI.Low","FCHI.Close","FCHI.Volume","FCHI.Adjusted"
"210",4844.64013671875,4896.47021484375,4814.990234375,4816.1201171875,0,4816.1201171875
"211",4818.97998046875,4818.97998046875,4723.7001953125,4730.66015625,0,4730.66015625
"212",4635.18994140625,4640.6298828125,4521.60986328125,4571.1201171875,0,4571.1201171875
"213",4571.1298828125,4606.72021484375,4512.56982421875,4569.669921875,0,4569.669921875
"214",4519.3701171875,4601.740234375,4519.3701171875,4594.240234375,0,4594.240234375
"215",4614.9501953125,4705.10986328125,4581.85986328125,4691.14013671875,0,4691.14013671875
"216",4743.85986328125,4812.2900390625,4730.22998046875,4805.60986328125,0,4805.60986328125
"217",4736.4599609375,4926.56005859375,4730.31005859375,4922.85009765625,0,4922.85009765625
"218",4956.02001953125,4998.18994140625,4942.18017578125,4983.990234375,0,4983.990234375
"219",4964.259765625,4997.740234375,4915.240234375,4960.8798828125,0,4960.8798828125
"220",5036.919921875,5387.490234375,5021.330078125,5336.31982421875,0,5336.31982421875
"221",5351.31005859375,5439.080078125,5327.22021484375,5418.97021484375,0,5418.97021484375
"222",5433.66015625,5462.9501953125,5408.669921875,5445.2099609375,0,5445.2099609375
"223",5394.3701171875,5421.39990234375,5348.6298828125,5362.56982421875,0,5362.56982421875
"224",5343.31982421875,5411.1201171875,5343.25,5380.16015625,0,5380.16015625
"225",5430.56982421875,5518.91015625,5402.31005859375,5471.47998046875,0,5471.47998046875
"226",5468.2900390625,5487.31005859375,5441.259765625,5483,0,5483
"227",5468.169921875,5521.009765625,5452.1201171875,5511.4501953125,0,5511.4501953125
"228",5458.02001953125,5490.18017578125,5449.4501953125,5474.66015625,0,5474.66015625
"229",5463.990234375,5524.25,5461.39013671875,5495.89013671875,0,5495.89013671875
"230",5543.830078125,5555.830078125,5492.14990234375,5492.14990234375,95986700,5492.14990234375
"231",5546.06982421875,5574.68994140625,5536.10986328125,5558.419921875,0,5558.419921875
"232",5577.97021484375,5589.77978515625,5545.009765625,5571.2900390625,0,5571.2900390625
"233",5589.3798828125,5592.77978515625,5559.72021484375,5566.7900390625,65753800,5566.7900390625
"234",5563.0400390625,5612.759765625,5556.6201171875,5598.18017578125,84633600,5598.18017578125
"235",5564.16015625,5599.93994140625,5518.5498046875,5518.5498046875,0,5518.5498046875
"236",5542.4599609375,5589.68017578125,5529.25,5581.64013671875,0,5581.64013671875
