"","BNP.PA.Open","BNP.PA.High","BNP.PA.Low","BNP.PA.Close","BNP.PA.Volume","BNP.PA.Adjusted"
"359",54.3499984741211,56.3899993896484,54.2400016784668,56.3899993896484,7218484,40.6632194519043
"360",56.8899993896484,56.9000015258789,55.7700004577637,56.4799995422363,3420514,40.7281150817871
"361",56.3899993896484,56.3899993896484,55.7200012207031,55.8499984741211,1717674,40.2738189697266
"362",56.1800003051758,57.0099983215332,56.0800018310547,56.7099990844727,2710254,40.8939666748047
"363",56.7000007629395,57,56.2000007629395,57,2305482,41.1030921936035
"364",56.8300018310547,57.6399993896484,56.7999992370605,57.439998626709,2414284,41.4203758239746
"365",57.439998626709,57.8199996948242,57.0900001525879,57.1100006103516,2409136,41.1824111938477
"366",57.1800003051758,57.6699981689453,56.8899993896484,57.5699996948242,2163689,41.5141220092773
"367",57.3899993896484,57.8199996948242,56.5099983215332,56.6800003051758,2485687,40.8723411560059
"368",56.6399993896484,56.8800010681152,55.5499992370605,56.2299995422363,2536834,40.5478439331055
"369",56.0099983215332,56.9000015258789,55.6300010681152,56.0900001525879,2583272,40.4468841552734
"370",55.9000015258789,56.3199996948242,55.5299987792969,56.3199996948242,2244936,40.6127395629883
"371",56.4500007629395,56.7799987792969,56.1199989318848,56.4500007629395,2240963,40.706485748291
"372",56.4500007629395,56.6500015258789,56.0299987792969,56.4700012207031,2236093,40.7209053039551
"373",56.7999992370605,56.8300018310547,55.3400001525879,55.7400016784668,2751994,40.1944999694824
"374",56.2700004577637,57.7999992370605,56.2400016784668,56.310001373291,4255710,40.6055297851562
"375",55.689998626709,55.9500007629395,53.6399993896484,53.7400016784668,9157129,38.7522850036621
"376",53.0299987792969,54.0999984741211,52.2999992370605,53.8600006103516,3740121,38.8388137817383
"377",54.3499984741211,54.3499984741211,53.3199996948242,53.9799995422363,2541207,38.925350189209
"378",54,54.4300003051758,53.4000015258789,53.4799995422363,2078825,38.5647926330566
"379",53.8400001525879,54.4799995422363,53.4599990844727,54.0999984741211,2231311,39.0118827819824
"380",54.3600006103516,54.6699981689453,54.0200004577637,54.4599990844727,1968328,39.2714767456055
"381",54.3400001525879,54.5699996948242,53.0200004577637,53.2000007629395,2180758,38.3628883361816
"382",53.2599983215332,54.2700004577637,53.2400016784668,53.5699996948242,1881577,38.6296997070312
"383",53.2000007629395,53.439998626709,52.1399993896484,52.8699989318848,3382152,38.1249198913574
"384",53.189998626709,53.8600006103516,52.8800010681152,53.4799995422363,2221551,38.5647926330566
"385",53.6100006103516,53.6599998474121,52.2999992370605,52.4700012207031,2515438,37.8364753723145
"386",52.3400001525879,53.8499984741211,52.1100006103516,53.6300010681152,2512932,38.672966003418
"387",53.5099983215332,53.5400009155273,51.7299995422363,51.9199981689453,3888630,37.439868927002
"388",52,52.1699981689453,50.689998626709,51.1800003051758,4501859,36.90625
"389",50.6599998474121,50.6599998474121,49.3600006103516,49.7150001525879,5747985,35.8498268127441
"390",50,50.9300003051758,49.7150001525879,50.9300003051758,4085902,36.7259750366211
"391",50.8899993896484,51.25,49.7999992370605,51.0400009155273,2984435,36.8052940368652
"392",51.2700004577637,51.5299987792969,50.6199989318848,50.8300018310547,3446871,36.6538619995117
"393",50.810001373291,51.6199989318848,50.6399993896484,51.1399993896484,2325622,36.8774032592773
"394",50.9000015258789,50.939998626709,50.2700004577637,50.7200012207031,2379431,36.5745429992676
"395",51.0400009155273,51.1199989318848,49.5750007629395,49.8800010681152,3241591,35.9688148498535
