"","AIR.PA.Open","AIR.PA.High","AIR.PA.Low","AIR.PA.Close","AIR.PA.Volume","AIR.PA.Adjusted"
"314",96.0999984741211,97.0299987792969,95.2099990844727,95.2099990844727,1482214,88.9630126953125
"315",94.5,96.7699966430664,93.1399993896484,95.9700012207031,1803009,89.6731567382812
"316",95.0299987792969,96.5999984741211,94.1900024414062,96.4899978637695,1733605,90.1590347290039
"317",97.5999984741211,98.6900024414062,96.6900024414062,97.6800003051758,1937074,91.2709579467773
"318",98.6500015258789,98.8000030517578,96.4100036621094,97.4000015258789,1014054,91.0093231201172
"319",97.3899993896484,98.2900009155273,96.8399963378906,97.6999969482422,1639176,91.2896423339844
"320",97.0699996948242,98.0100021362305,96.3300018310547,96.5400009155273,1827776,90.2057495117188
"321",96.6999969482422,101.440002441406,96.5500030517578,100.419998168945,1883358,93.8311767578125
"322",101.519996643066,102.099998474121,99.4300003051758,100.699996948242,1516580,94.0928039550781
"323",100.660003662109,101.639999389648,100.23999786377,100.540000915527,1071145,93.9433059692383
"324",100.699996948242,101.440002441406,99.7200012207031,100.800003051758,1227715,94.1862487792969
"325",101.400001525879,104.099998474121,100.959999084473,101.099998474121,1976032,94.4665603637695
"326",101.300003051758,101.519996643066,99.1999969482422,99.9000015258789,1461248,93.3452987670898
"327",99.7399978637695,100.639999389648,97.7300033569336,98.4000015258789,1667017,91.9437103271484
"328",98.629997253418,100.639999389648,97.9199981689453,100.220001220703,1184415,93.6442947387695
"329",100.120002746582,104.099998474121,99.5,102.839996337891,1929003,96.0923919677734
"330",103,104.540000915527,102.839996337891,103.680000305176,1730699,96.8772811889648
"331",103.940002441406,104.180000305176,102.419998168945,102.699996948242,1106840,95.9615707397461
"332",102.720001220703,102.940002441406,97.9400024414062,97.9400024414062,2030955,91.5138931274414
"333",98.0999984741211,99.9400024414062,95.9499969482422,97.7300033569336,1730581,91.3176803588867
"334",98.5,99.75,97.2399978637695,99.7099990844727,1588552,93.1677551269531
"335",98.5,99.4899978637695,97.6699981689453,98.4599990844727,1526193,91.9997787475586
