"","RNO.PA.Open","RNO.PA.High","RNO.PA.Low","RNO.PA.Close","RNO.PA.Volume","RNO.PA.Adjusted"
"62",19.8299999237061,19.8479995727539,17.7999992370605,17.9260005950928,2196454,16.3282470703125
"63",18.2740001678467,18.4599990844727,16.8139991760254,17.2080001831055,2282619,15.6742420196533
"64",17.2980003356934,17.8759994506836,16.8199996948242,17.7080001831055,2127007,16.129674911499
"65",17.3540000915527,17.4799995422363,16.3120002746582,16.3120002746582,1701573,14.8581027984619
"66",16.6140003204346,17.2000007629395,15.9799995422363,16.3120002746582,1582655,14.8581027984619
"67",16.4500007629395,16.6700000762939,15.7720003128052,15.8120002746582,1103656,14.4026679992676
"68",17.7000007629395,18.0520000457764,17.0499992370605,18.0520000457764,2180686,16.4430141448975
"69",18.7000007629395,19.5820007324219,17.826000213623,18.4839992523193,2436284,16.8365116119385
"70",18.2299995422363,18.4300003051758,17.7800006866455,18.3880004882812,1480175,16.7490673065186
"71",18.8999996185303,19.1499996185303,18.0300006866455,18.5380001068115,2058117,16.8856983184814
"72",19.1040000915527,19.1599998474121,18.0279998779297,18.0279998779297,1869845,16.4211540222168
"73",18,18.0459995269775,16.5799999237061,16.5799999237061,2204371,15.1022157669067
"74",16.681999206543,17.0300006866455,15.9899997711182,16,1924827,14.5739116668701
"75",16.8980007171631,17.0279998779297,16.0699996948242,16.3799991607666,2786527,14.9200420379639
"76",16.757999420166,17.0440006256104,16.2080001831055,16.67799949646,1494615,15.1914806365967
"77",16.3920001983643,16.6340007781982,15.9399995803833,16.3320007324219,1551672,14.8763198852539
"78",16.5179996490479,16.5179996490479,15.8000001907349,15.8299999237061,2393474,14.4190635681152
"79",16.4799995422363,16.5699996948242,15.9060001373291,16.488000869751,2115050,15.0184164047241
"80",16,16.6940002441406,15.8999996185303,16.0020008087158,1704354,14.5757341384888
"81",16.9580001831055,17.5799999237061,16.5919990539551,17.5799999237061,2382035,16.0130844116211
"82",17.7000007629395,18.2919998168945,17.4559993743896,18.1660003662109,2024086,16.5468559265137
"83",18.1499996185303,19.6000003814697,18,19.6000003814697,2383490,17.8530426025391
"84",19.75,19.8780002593994,18.0219993591309,18.1060009002686,2647754,16.4922046661377
"85",17.7679996490479,17.8540000915527,16.8999996185303,17.07200050354,2402559,15.5503625869751
"86",17.6319999694824,18.1560001373291,17.1159992218018,17.3139991760254,1770067,15.7707939147949
"87",17.3500003814697,17.742000579834,17.0499992370605,17.1000003814697,1189833,15.5758686065674
"88",17.2000007629395,17.3560009002686,16.9139995574951,17.0919990539551,1365054,15.5685806274414
"89",17.3099994659424,17.5259990692139,17.0879993438721,17.5259990692139,984244,15.9638977050781
"90",17.8500003814697,18.7140007019043,17.6620006561279,17.6620006561279,1974470,16.087776184082
"91",17.6979999542236,17.7439994812012,17.0799999237061,17.1539993286133,1002638,15.6250534057617
"92",17.1299991607666,17.6499996185303,16.5300006866455,17.0659999847412,1756136,15.5448980331421
"93",17,17.3719997406006,15.8859996795654,16.9860000610352,2495346,15.4720287322998
"94",17.3959999084473,18.2240009307861,16.996000289917,17.4780006408691,2337451,15.9201784133911
"95",17.9659996032715,18.9979991912842,17.9599990844727,18.9979991912842,2424830,17.3046970367432
"96",19,19.0100002288818,16.7019996643066,16.9360008239746,4600437,15.4264860153198
"97",16.9340000152588,18.1399993896484,16.5799999237061,17.9799995422363,3737488,16.3774318695068
"98",17.6940002441406,18.1480007171631,17.238000869751,17.7059993743896,2305093,16.1278553009033
"99",17.0200004577637,17.9580001831055,16.8020000457764,17.2000007629395,2798865,15.666955947876
"100",17.3199996948242,17.9640007019043,17,17.9640007019043,2874860,16.3628616333008
"101",18.4200000762939,19.2800006866455,18.2520008087158,19.1539993286133,4976186,17.4467926025391
"102",19.4400005340576,23.0499992370605,19.3619995117188,22.5,9603937,20.4945640563965
"103",22.6599998474121,23.1599998474121,21.6700000762939,21.8999996185303,5924335,19.9480419158936
"104",21.2450008392334,21.5,20.1700000762939,20.2049999237061,5347533,18.4041175842285
"105",20.75,21.5300006866455,20.4099998474121,21.4549999237061,2449961,19.5427055358887
"106",21.7800006866455,22.5249996185303,21.5400009155273,21.6900005340576,3037500,19.7567596435547
"107",22.7800006866455,23.9650001525879,22.5100002288818,23.9650001525879,4687492,21.8289852142334
"108",23.4950008392334,24.1100006103516,22.7250003814697,23.6100006103516,3532270,21.5056285858154
"109",24.1599998474121,25.9300003051758,24.1000003814697,25.9300003051758,5940325,23.6188449859619
"110",25.9950008392334,27.9099998474121,25.8449993133545,26.3549995422363,5462589,24.0059642791748
"111",26.5149993896484,27.0650005340576,24.2999992370605,25.5,3967618,23.2271728515625
"112",25.7049999237061,26.5799999237061,24.4300003051758,24.8500003814697,3111629,22.6351070404053
"113",23.8999996185303,23.8999996185303,21.3500003814697,21.3500003814697,5561415,19.4470634460449
"114",21.2999992370605,22.9150009155273,21.1149997711182,22,4674285,20.0391273498535
"115",21.0100002288818,22.1399993896484,20.75,21.8950004577637,3255517,19.9434871673584
"116",23.3549995422363,23.7199993133545,22.3400001525879,22.7950000762939,4485773,20.7632694244385
"117",22.7000007629395,23.2600002288818,21.7199993133545,21.9500007629395,2770222,19.9935855865479
"118",21.6599998474121,22.3349990844727,21.0550003051758,21.5349998474121,2383345,19.6155738830566
"119",21.9449996948242,21.9699993133545,21.0599994659424,21.1299991607666,3432029,19.2466716766357
"120",20.9400005340576,21.5049991607666,20.5499992370605,21.0200004577637,2278691,19.1464767456055
"121",21.3549995422363,22.8950004577637,21.1100006103516,22.3649997711182,3370238,20.3715953826904
"122",22.3649997711182,22.9500007629395,20.9150009155273,20.9150009155273,2402740,19.0508365631104
"123",20.75,21.7000007629395,20.6700000762939,21.3899993896484,2017366,19.4834976196289
"124",21.7399997711182,21.8700008392334,20.9349994659424,20.9650001525879,1828354,19.096378326416
"125",20.8600006103516,22.3299999237061,20.8500003814697,22.0650005340576,2141951,20.0983352661133
"126",22.2950000762939,22.6350002288818,21.7800006866455,22.5799999237061,2383928,20.5674324035645
"127",22.6900005340576,22.7999992370605,21.25,21.5,2738198,19.5836944580078
"128",21.8349990844727,23.0400009155273,21.7000007629395,22.6049995422363,2467996,20.590202331543
"129",22.6149997711182,22.8799991607666,21.9150009155273,22.2950000762939,1136675,20.3078346252441
"130",22.9699993133545,23.5900001525879,22.7649993896484,23.2749996185303,2433154,21.2004871368408
"131",23.0949993133545,23.4950008392334,22.6700000762939,23.0849990844727,1639953,21.0274219512939
"132",22.8199996948242,22.8700008392334,21.9200000762939,22.0200004577637,2341069,20.0573463439941
"133",22.3199996948242,22.4699993133545,21.6000003814697,21.6000003814697,1851932,19.6747817993164
"134",21.3600006103516,22.4500007629395,21.1949996948242,22.4150009155273,2005803,20.4171390533447
"135",22.6100006103516,23.2399997711182,22.4899997711182,22.7999992370605,1986880,20.767822265625
"136",22.5499992370605,22.8400001525879,22.1499996185303,22.6100006103516,1521715,20.5947589874268
"137",23.0499992370605,23.8899993896484,23,23.4599990844727,2651117,21.3689956665039
"138",23.3999996185303,24.1000003814697,23.3150005340576,23.9300003051758,2106384,21.7971057891846
"139",24.1000003814697,24.1399993896484,23.6599998474121,23.8649997711182,1530034,21.7378997802734
"140",23.7000007629395,24.3950004577637,23.3250007629395,24.2700004577637,1835883,22.106803894043
"141",24.6499996185303,25.3500003814697,24.3299999237061,24.4850006103516,2516652,22.3026390075684
"142",24.4349994659424,24.6149997711182,23.6650009155273,23.9099998474121,1377313,21.7788887023926
"143",24.4349994659424,25.8799991607666,24.4050006866455,25.6299991607666,3349025,23.3455848693848
"144",25.1499996185303,25.5200004577637,24.8449993133545,25.2399997711182,1796764,22.9903450012207
