"Date","Temperature"
"2022-03-07 00:00:00",2.9
"2022-03-08 00:00:00",1
"2022-03-09 00:00:00",3.6
"2022-03-10 00:00:00",6.9
"2022-03-11 00:00:00",7.2
"2022-03-12 00:00:00",8.4
"2022-03-13 00:00:00",8.3
"2022-03-14 00:00:00",6
"2022-03-15 00:00:00",7.8
"2022-03-16 00:00:00",9.2
"2022-03-17 00:00:00",10.3
"2022-03-18 00:00:00",4.6
"2022-03-19 00:00:00",7.9
"2022-03-20 00:00:00",6.5
"2022-03-21 00:00:00",6.2
"2022-03-22 00:00:00",8.6
"2022-03-23 00:00:00",6.9
"2022-03-24 00:00:00",6.1
"2022-03-25 00:00:00",8.7
"2022-03-26 00:00:00",8.2
"2022-03-27 00:00:00",9
"2022-03-28 00:00:00",8.6
"2022-03-29 00:00:00",11.6
"2022-03-30 00:00:00",9.1
"2022-03-31 00:00:00",7.9
"2022-04-01 00:00:00",2.2
"2022-04-02 00:00:00",1.5
"2022-04-03 00:00:00",1.6
"2022-04-04 00:00:00",1.4
"2022-04-05 00:00:00",7.5
"2022-04-06 00:00:00",8.8
"2022-04-07 00:00:00",10.4
"2022-04-08 00:00:00",8.5
"2022-04-09 00:00:00",3.7
"2022-04-10 00:00:00",1.9
"2022-04-11 00:00:00",6.7
"2022-04-12 00:00:00",12.6
"2022-04-13 00:00:00",13.1
"2022-04-14 00:00:00",10.7
"2022-04-15 00:00:00",10.6
"2022-04-16 00:00:00",11.6
"2022-04-17 00:00:00",9
"2022-04-18 00:00:00",9.8
"2022-04-19 00:00:00",9.8
"2022-04-20 00:00:00",9.2
"2022-04-21 00:00:00",9.6
"2022-04-22 00:00:00",11
"2022-04-23 00:00:00",11
"2022-04-24 00:00:00",11.1
"2022-04-25 00:00:00",10.8
"2022-04-26 00:00:00",7.9
"2022-04-27 00:00:00",8.2
"2022-04-28 00:00:00",11.2
"2022-04-29 00:00:00",11.7
"2022-04-30 00:00:00",9.9
"2022-05-01 00:00:00",7.8
"2022-05-02 00:00:00",10.2
"2022-05-03 00:00:00",12
"2022-05-04 00:00:00",11.3
"2022-05-05 00:00:00",11.1
"2022-05-06 00:00:00",11.1
"2022-05-07 00:00:00",13.2
"2022-05-08 00:00:00",12.9
"2022-05-09 00:00:00",13.7
"2022-05-10 00:00:00",16.8
"2022-05-11 00:00:00",15.3
"2022-05-12 00:00:00",16.3
"2022-05-13 00:00:00",12.9
"2022-05-14 00:00:00",12.1
"2022-05-15 00:00:00",15.1
"2022-05-16 00:00:00",18.8
"2022-05-17 00:00:00",17.9
"2022-05-18 00:00:00",17.9
"2022-05-19 00:00:00",23.2
"2022-05-20 00:00:00",17.6
"2022-05-21 00:00:00",11.9
"2022-05-22 00:00:00",14.6
"2022-05-23 00:00:00",17
"2022-05-24 00:00:00",13.1
"2022-05-25 00:00:00",10.6
"2022-05-26 00:00:00",15.6
"2022-05-27 00:00:00",15.4
"2022-05-28 00:00:00",11
"2022-05-29 00:00:00",11.3
"2022-05-30 00:00:00",9.9
"2022-05-31 00:00:00",10.3
"2022-06-01 00:00:00",10.9
"2022-06-02 00:00:00",12.3
"2022-06-03 00:00:00",15.9
"2022-06-04 00:00:00",15.7
"2022-06-05 00:00:00",17
"2022-06-06 00:00:00",14.9
"2022-06-07 00:00:00",15.2
"2022-06-08 00:00:00",16.3
"2022-06-09 00:00:00",14.1
"2022-06-10 00:00:00",14.3
"2022-06-11 00:00:00",15
"2022-06-12 00:00:00",15.1
"2022-06-13 00:00:00",12.9
"2022-06-14 00:00:00",14.5
"2022-06-15 00:00:00",17.8
"2022-06-16 00:00:00",18.9
"2022-06-17 00:00:00",19.1
"2022-06-18 00:00:00",22.9
"2022-06-19 00:00:00",25.5
"2022-06-20 00:00:00",17.9
"2022-06-21 00:00:00",16
"2022-06-22 00:00:00",18.2
"2022-06-23 00:00:00",17.7
"2022-06-24 00:00:00",19.1
"2022-06-25 00:00:00",17.7
"2022-06-26 00:00:00",13.7
"2022-06-27 00:00:00",14.4
"2022-06-28 00:00:00",14.1
"2022-06-29 00:00:00",15.4
"2022-06-30 00:00:00",16
"2022-07-01 00:00:00",11.8
"2022-07-02 00:00:00",13.1
"2022-07-03 00:00:00",15.8
"2022-07-04 00:00:00",14.8
"2022-07-05 00:00:00",15
"2022-07-06 00:00:00",15.7
"2022-07-07 00:00:00",17
"2022-07-08 00:00:00",15
"2022-07-09 00:00:00",17
"2022-07-10 00:00:00",16.7
"2022-07-11 00:00:00",19.2
"2022-07-12 00:00:00",21.1
"2022-07-13 00:00:00",22.5
"2022-07-14 00:00:00",22.8
"2022-07-15 00:00:00",19.7
"2022-07-16 00:00:00",18.5
"2022-07-17 00:00:00",20.3
"2022-07-18 00:00:00",21.6
"2022-07-19 00:00:00",27.8
"2022-07-20 00:00:00",26.1
"2022-07-21 00:00:00",17.2
"2022-07-22 00:00:00",19.2
"2022-07-23 00:00:00",18.1
"2022-07-24 00:00:00",20
"2022-07-25 00:00:00",22.4
"2022-07-26 00:00:00",18
"2022-07-27 00:00:00",16.6
"2022-07-28 00:00:00",18
"2022-07-29 00:00:00",17.7
"2022-07-30 00:00:00",20.1
"2022-07-31 00:00:00",20.2
"2022-08-01 00:00:00",19.9
"2022-08-02 00:00:00",20.9
"2022-08-03 00:00:00",21.8
"2022-08-04 00:00:00",24.4
"2022-08-05 00:00:00",19.2
"2022-08-06 00:00:00",16.4
"2022-08-07 00:00:00",16.6
"2022-08-08 00:00:00",18.4
"2022-08-09 00:00:00",20
"2022-08-10 00:00:00",22.5
"2022-08-11 00:00:00",22.6
"2022-08-12 00:00:00",22.3
"2022-08-13 00:00:00",22.6
"2022-08-14 00:00:00",21.1
"2022-08-15 00:00:00",18.9
"2022-08-16 00:00:00",18.6
"2022-08-17 00:00:00",17
"2022-08-18 00:00:00",17.1
"2022-08-19 00:00:00",18.1
"2022-08-20 00:00:00",15.8
"2022-08-21 00:00:00",16.6
"2022-08-22 00:00:00",18.7
"2022-08-23 00:00:00",20.1
"2022-08-24 00:00:00",20.1
"2022-08-25 00:00:00",23.7
"2022-08-26 00:00:00",18.6
"2022-08-27 00:00:00",17.5
"2022-08-28 00:00:00",17.2
"2022-08-29 00:00:00",19.5
"2022-08-30 00:00:00",20.1
"2022-08-31 00:00:00",19.3
"2022-09-01 00:00:00",20
"2022-09-02 00:00:00",20.6
"2022-09-03 00:00:00",17.6
"2022-09-04 00:00:00",16.7
"2022-09-05 00:00:00",21.1
"2022-09-06 00:00:00",19.4
"2022-09-07 00:00:00",17.1
"2022-09-08 00:00:00",16.4
"2022-09-09 00:00:00",16.6
"2022-09-10 00:00:00",15.3
"2022-09-11 00:00:00",13.6
"2022-09-12 00:00:00",14.7
"2022-09-13 00:00:00",18.8
"2022-09-14 00:00:00",20.9
"2022-09-15 00:00:00",16.6
"2022-09-16 00:00:00",14.8
"2022-09-17 00:00:00",10
"2022-09-18 00:00:00",9.2
"2022-09-19 00:00:00",10.9
"2022-09-20 00:00:00",9.8
"2022-09-21 00:00:00",10.5
"2022-09-22 00:00:00",9.3
"2022-09-23 00:00:00",11.4
"2022-09-24 00:00:00",13.8
"2022-09-25 00:00:00",12.5
"2022-09-26 00:00:00",11.4
"2022-09-27 00:00:00",11
"2022-09-28 00:00:00",11.9
"2022-09-29 00:00:00",8.5
"2022-09-30 00:00:00",7.9
"2022-10-01 00:00:00",12.5
"2022-10-02 00:00:00",15.5
"2022-10-03 00:00:00",9.1
"2022-10-04 00:00:00",10.1
"2022-10-05 00:00:00",13.2
"2022-10-06 00:00:00",15.6
"2022-10-07 00:00:00",9.9
"2022-10-08 00:00:00",10.8
"2022-10-09 00:00:00",7.7
"2022-10-10 00:00:00",10.7
"2022-10-11 00:00:00",12.6
"2022-10-12 00:00:00",8.3
"2022-10-13 00:00:00",13.3
"2022-10-14 00:00:00",14.4
"2022-10-15 00:00:00",15.2
"2022-10-16 00:00:00",15
"2022-10-17 00:00:00",17.8
"2022-10-18 00:00:00",14.5
"2022-10-19 00:00:00",15.2
"2022-10-20 00:00:00",16.6
"2022-10-21 00:00:00",15.5
"2022-10-22 00:00:00",14.3
"2022-10-23 00:00:00",14.9
"2022-10-24 00:00:00",18.3
"2022-10-25 00:00:00",13.2
"2022-10-26 00:00:00",15.5
"2022-10-27 00:00:00",15.3
"2022-10-28 00:00:00",17.9
"2022-10-29 00:00:00",16.4
"2022-10-30 00:00:00",14.8
"2022-10-31 00:00:00",11.5
"2022-11-01 00:00:00",16.4
"2022-11-02 00:00:00",13.2
"2022-11-03 00:00:00",12.9
"2022-11-04 00:00:00",9.9
"2022-11-05 00:00:00",6.2
"2022-11-06 00:00:00",11.1
"2022-11-07 00:00:00",11.4
"2022-11-08 00:00:00",10.7
"2022-11-09 00:00:00",13.6
"2022-11-10 00:00:00",9.1
"2022-11-11 00:00:00",9.9
"2022-11-12 00:00:00",8.5
"2022-11-13 00:00:00",7.7
"2022-11-14 00:00:00",7
"2022-11-15 00:00:00",10.9
"2022-11-16 00:00:00",10.3
"2022-11-17 00:00:00",13
"2022-11-18 00:00:00",8.9
"2022-11-19 00:00:00",5.9
"2022-11-20 00:00:00",5.9
"2022-11-21 00:00:00",7.8
"2022-11-22 00:00:00",5.8
"2022-11-23 00:00:00",6.9
"2022-11-24 00:00:00",9.3
"2022-11-25 00:00:00",10.8
"2022-11-26 00:00:00",6.1
"2022-11-27 00:00:00",6.5
"2022-11-28 00:00:00",9.1
"2022-11-29 00:00:00",5.3
"2022-11-30 00:00:00",6.7
"2022-12-01 00:00:00",5.7
"2022-12-02 00:00:00",5.5
"2022-12-03 00:00:00",3
"2022-12-04 00:00:00",2.6
"2022-12-05 00:00:00",3
"2022-12-06 00:00:00",2.5
"2022-12-07 00:00:00",0.4
"2022-12-08 00:00:00",2.7
"2022-12-09 00:00:00",-0.5
"2022-12-10 00:00:00",0.5
"2022-12-11 00:00:00",-1
"2022-12-12 00:00:00",-3.2
"2022-12-13 00:00:00",-2.4
"2022-12-14 00:00:00",-3.3
"2022-12-15 00:00:00",-0.5
"2022-12-16 00:00:00",-2.4
"2022-12-17 00:00:00",-3.7
"2022-12-18 00:00:00",-4.4
"2022-12-19 00:00:00",5.4
"2022-12-20 00:00:00",9.9
"2022-12-21 00:00:00",11.7
"2022-12-22 00:00:00",12.7
"2022-12-23 00:00:00",13.4
"2022-12-24 00:00:00",10.8
"2022-12-25 00:00:00",9.8
"2022-12-26 00:00:00",11.6
"2022-12-27 00:00:00",4.8
"2022-12-28 00:00:00",8.8
"2022-12-29 00:00:00",11.6
"2022-12-30 00:00:00",6.3
"2022-12-31 00:00:00",14.9
